Name,Quantity,Component
"U3",1," Arduino Uno R3"
"U4",1," LCD 16 x 2"
"Rpot2",1,"250 kΩ Potentiometer"
"R2",1,"220 Ω Resistor"
"PIR1",1," PIR Sensor"
"PIEZO1",1," Piezo"
